w_mse_2m_temperature_1_hours,w_mse,w_rmse_2m_temperature_1_hours,w_rmse,acc_2m_temperature_1_hours,acc,hours
0.4177665114402771,0.4177665114402771,13.854270935058594,13.854270935058594,0.1757977306842804,0.1757977306842804,1
0.39452362060546875,0.39452362060546875,13.463359832763672,13.463359832763672,0.16549308598041534,0.16549308598041534,2
0.4644697606563568,0.4644697606563568,14.60816478729248,14.60816478729248,0.19204077124595642,0.19204077124595642,3
0.38314929604530334,0.38314929604530334,13.267861366271973,13.267861366271973,0.10700199007987976,0.10700199007987976,4
0.514763593673706,0.514763593673706,15.378742218017578,15.378742218017578,0.14239805936813354,0.14239805936813354,5
0.5654129385948181,0.5654129385948181,16.117578506469727,16.117578506469727,0.28352469205856323,0.28352469205856323,6
0.435151606798172,0.435151606798172,14.139602661132812,14.139602661132812,0.21831084787845612,0.21831084787845612,7
0.4583614766597748,0.4583614766597748,14.511789321899414,14.511789321899414,0.20680095255374908,0.20680095255374908,8
0.3842412829399109,0.3842412829399109,13.286754608154297,13.286754608154297,0.3542421758174896,0.3542421758174896,9
0.46399712562561035,0.46399712562561035,14.600728988647461,14.600728988647461,0.18449629843235016,0.18449629843235016,10
0.3907185196876526,0.3907185196876526,13.398274421691895,13.398274421691895,0.14332880079746246,0.14332880079746246,11
0.3610644042491913,0.3610644042491913,12.879802703857422,12.879802703857422,0.2314676195383072,0.2314676195383072,12
0.44182032346725464,0.44182032346725464,14.247535705566406,14.247535705566406,0.21882976591587067,0.21882976591587067,13
0.47169116139411926,0.47169116139411926,14.721287727355957,14.721287727355957,0.21095897257328033,0.21095897257328033,14
0.2939625382423401,0.2939625382423401,11.621520042419434,11.621520042419434,0.3441305160522461,0.3441305160522461,15
0.33519333600997925,0.33519333600997925,12.409795761108398,12.409795761108398,0.21581949293613434,0.21581949293613434,16
0.34266120195388794,0.34266120195388794,12.547273635864258,12.547273635864258,0.2629345655441284,0.2629345655441284,17
0.5090113282203674,0.5090113282203674,15.292576789855957,15.292576789855957,0.1706884652376175,0.1706884652376175,18
0.34407562017440796,0.34407562017440796,12.57314395904541,12.57314395904541,0.31339114904403687,0.31339114904403687,19
0.38365304470062256,0.38365304470062256,13.276579856872559,13.276579856872559,0.2417043298482895,0.2417043298482895,20
0.4434605836868286,0.4434605836868286,14.27396011352539,14.27396011352539,0.21440832316875458,0.21440832316875458,21
0.48079848289489746,0.48079848289489746,14.862724304199219,14.862724304199219,0.17224706709384918,0.17224706709384918,22
0.3968150019645691,0.3968150019645691,13.502399444580078,13.502399444580078,0.21512818336486816,0.21512818336486816,23
0.4192270338535309,0.4192270338535309,13.878469467163086,13.878469467163086,0.20793786644935608,0.20793786644935608,24
0.5076855421066284,0.5076855421066284,15.2726469039917,15.2726469039917,0.16416777670383453,0.16416777670383453,25
0.484108030796051,0.484108030796051,14.91379165649414,14.91379165649414,0.1940048485994339,0.1940048485994339,26
0.44255340099334717,0.44255340099334717,14.259349822998047,14.259349822998047,0.20267382264137268,0.20267382264137268,27
0.4277522563934326,0.4277522563934326,14.018872261047363,14.018872261047363,0.2518724203109741,0.2518724203109741,28
0.46837180852890015,0.46837180852890015,14.669398307800293,14.669398307800293,0.1903117448091507,0.1903117448091507,29
0.4437505900859833,0.4437505900859833,14.278624534606934,14.278624534606934,0.2081184983253479,0.2081184983253479,30
0.528892457485199,0.528892457485199,15.588366508483887,15.588366508483887,0.3415011465549469,0.3415011465549469,31
0.48312145471572876,0.48312145471572876,14.898587226867676,14.898587226867676,0.22459889948368073,0.22459889948368073,32
0.4065302908420563,0.4065302908420563,13.666690826416016,13.666690826416016,0.12455718219280243,0.12455718219280243,33
0.46742281317710876,0.46742281317710876,14.654529571533203,14.654529571533203,0.1966419219970703,0.1966419219970703,34
0.37144893407821655,0.37144893407821655,13.063709259033203,13.063709259033203,0.2385215014219284,0.2385215014219284,35
0.489380806684494,0.489380806684494,14.994790077209473,14.994790077209473,0.17845448851585388,0.17845448851585388,36
0.3600756525993347,0.3600756525993347,12.862156867980957,12.862156867980957,0.11127843707799911,0.11127843707799911,37
0.554248571395874,0.554248571395874,15.957659721374512,15.957659721374512,0.14596706628799438,0.14596706628799438,38
0.402789443731308,0.402789443731308,13.60366439819336,13.60366439819336,0.15320183336734772,0.15320183336734772,39
0.46722614765167236,0.46722614765167236,14.651446342468262,14.651446342468262,0.20583504438400269,0.20583504438400269,40
0.446368545293808,0.446368545293808,14.32068157196045,14.32068157196045,0.19185473024845123,0.19185473024845123,41
0.40835025906562805,0.40835025906562805,13.697248458862305,13.697248458862305,0.17034053802490234,0.17034053802490234,42
0.5736478567123413,0.5736478567123413,16.234525680541992,16.234525680541992,0.3225786089897156,0.3225786089897156,43
0.48611390590667725,0.48611390590667725,14.944656372070312,14.944656372070312,0.21605275571346283,0.21605275571346283,44
0.5028842091560364,0.5028842091560364,15.20025634765625,15.20025634765625,0.15773344039916992,0.15773344039916992,45
0.4974561929702759,0.4974561929702759,15.117999076843262,15.117999076843262,0.16812267899513245,0.16812267899513245,46
0.5892425179481506,0.5892425179481506,16.453712463378906,16.453712463378906,0.34440454840660095,0.34440454840660095,47
0.42887142300605774,0.42887142300605774,14.037199020385742,14.037199020385742,0.21611015498638153,0.21611015498638153,48
0.5066443681716919,0.5066443681716919,15.256978034973145,15.256978034973145,0.14543354511260986,0.14543354511260986,49
0.4093605875968933,0.4093605875968933,13.71418285369873,13.71418285369873,0.1431514322757721,0.1431514322757721,50
